Epoch [1/30], Train Loss: 0.7849, Train Acc: 71.43%, Val Loss: 0.6218, Val Acc: 79.13%
Epoch [2/30], Train Loss: 0.3642, Train Acc: 86.12%, Val Loss: 0.3544, Val Acc: 87.26%
Epoch [3/30], Train Loss: 0.2600, Train Acc: 91.23%, Val Loss: 0.5234, Val Acc: 81.03%
Epoch [4/30], Train Loss: 0.1872, Train Acc: 93.55%, Val Loss: 0.6198, Val Acc: 85.64%
Epoch [5/30], Train Loss: 0.1915, Train Acc: 93.44%, Val Loss: 0.3628, Val Acc: 89.43%
Epoch [6/30], Train Loss: 0.1103, Train Acc: 97.15%, Val Loss: 0.6276, Val Acc: 82.66%
Epoch [7/30], Train Loss: 0.1834, Train Acc: 94.95%, Val Loss: 0.4553, Val Acc: 85.37%
Epoch [8/30], Train Loss: 0.0993, Train Acc: 96.86%, Val Loss: 0.1561, Val Acc: 95.12%
Epoch [9/30], Train Loss: 0.0751, Train Acc: 98.08%, Val Loss: 1.0132, Val Acc: 78.05%
Epoch [10/30], Train Loss: 0.1044, Train Acc: 96.63%, Val Loss: 0.1816, Val Acc: 94.04%
Epoch [11/30], Train Loss: 0.0761, Train Acc: 97.50%, Val Loss: 0.1715, Val Acc: 93.50%
Epoch [12/30], Train Loss: 0.0258, Train Acc: 99.19%, Val Loss: 0.1635, Val Acc: 94.31%
Epoch [13/30], Train Loss: 0.0481, Train Acc: 98.43%, Val Loss: 0.1973, Val Acc: 95.12%
Epoch [14/30], Train Loss: 0.0613, Train Acc: 98.55%, Val Loss: 0.3076, Val Acc: 90.79%
Epoch [15/30], Train Loss: 0.0241, Train Acc: 99.25%, Val Loss: 0.1423, Val Acc: 95.66%
Epoch [16/30], Train Loss: 0.0077, Train Acc: 99.83%, Val Loss: 0.1480, Val Acc: 95.39%
Epoch [17/30], Train Loss: 0.0035, Train Acc: 99.94%, Val Loss: 0.1434, Val Acc: 95.12%
Epoch [18/30], Train Loss: 0.0037, Train Acc: 99.94%, Val Loss: 0.1497, Val Acc: 95.12%
Epoch [19/30], Train Loss: 0.0058, Train Acc: 99.88%, Val Loss: 0.1352, Val Acc: 95.39%
Epoch [20/30], Train Loss: 0.0037, Train Acc: 99.94%, Val Loss: 0.1589, Val Acc: 95.66%
Epoch [21/30], Train Loss: 0.0027, Train Acc: 100.00%, Val Loss: 0.1471, Val Acc: 95.39%
Epoch [22/30], Train Loss: 0.0020, Train Acc: 100.00%, Val Loss: 0.1494, Val Acc: 95.66%
Epoch [23/30], Train Loss: 0.0016, Train Acc: 100.00%, Val Loss: 0.1506, Val Acc: 95.66%
Epoch [24/30], Train Loss: 0.0017, Train Acc: 100.00%, Val Loss: 0.1473, Val Acc: 95.66%
Epoch [25/30], Train Loss: 0.0034, Train Acc: 99.94%, Val Loss: 0.1271, Val Acc: 96.75%
Epoch [26/30], Train Loss: 0.0018, Train Acc: 100.00%, Val Loss: 0.1383, Val Acc: 95.66%
Epoch [27/30], Train Loss: 0.0013, Train Acc: 100.00%, Val Loss: 0.1376, Val Acc: 96.48%
Epoch [28/30], Train Loss: 0.0019, Train Acc: 100.00%, Val Loss: 0.1446, Val Acc: 95.66%
Epoch [29/30], Train Loss: 0.0014, Train Acc: 100.00%, Val Loss: 0.1416, Val Acc: 95.66%
Epoch [30/30], Train Loss: 0.0011, Train Acc: 100.00%, Val Loss: 0.1367, Val Acc: 96.21%
Test Accuracy: 98.65%
